name,object_id,tract,patch,visit,ccd,filter,pointing,mjd,exptime,seeing,zeropt,maglimit
cid_1205,43158739083084985,9813,505,29328,4,g,1232,57159.2651606924,180.0,0.8764726,32.842384,
cid_1205,43158739083084985,9813,505,29336,49,g,1232,57159.2753648572,300.0,0.9361117,33.25892,
cid_1205,43158739083084985,9813,505,29340,57,g,1232,57159.2822073479,300.0,0.83455896,33.26954,
cid_1205,43158739083084985,9813,505,29342,4,g,1232,57159.2861560844,180.0,0.8588429,32.835503,
cid_1205,43158739083084985,9813,505,29350,65,g,1232,57159.2962449272,300.0,1.1883779,33.215828,
cid_1205,43158739083084985,9813,505,59128,101,g,1527,57454.2800799389,180.0,0.8225076,32.765022,
cid_1205,43158739083084985,9813,505,59134,4,g,1527,57454.2876052596,180.0,0.8147104,32.738285,
cid_1205,43158739083084985,9813,505,59142,4,g,1527,57454.2977307178,180.0,0.8148157,32.750908,
cid_1205,43158739083084985,9813,505,59150,57,g,1527,57454.3077788362,300.0,0.76332337,33.178043,
cid_1205,43158739083084985,9813,505,59152,64,g,1527,57454.3116834364,300.0,0.7508371,33.22564,
cid_1205,43158739083084985,9813,505,59154,58,g,1527,57454.3155517043,300.0,0.7393965,33.191956,
cid_1205,43158739083084985,9813,505,59156,58,g,1527,57454.3193951705,300.0,0.7440186,33.194202,
cid_1205,43158739083084985,9813,505,59158,58,g,1527,57454.3232413665,300.0,0.7559588,33.203976,
cid_1205,43158739083084985,9813,505,59160,50,g,1527,57454.3271179018,300.0,0.7585159,33.19408,
cid_1205,43158739083084985,9813,505,90750,57,g,1790,57717.55571242,300.0,1.0349019,32.25688,
cid_1205,43158739083084985,9813,505,90752,65,g,1790,57717.55959494,300.0,1.1163889,32.705,
cid_1205,43158739083084985,9813,505,90754,65,g,1790,57717.56343276,300.0,1.1005124,32.401806,
cid_1205,43158739083084985,9813,505,95148,66,g,1828,57755.58436493,300.0,0.63226634,33.01,
cid_1205,43158739083084985,9813,505,95150,4,g,1828,57755.58833562,180.0,0.57450265,32.568203,
cid_1205,43158739083084985,9813,505,95158,66,g,1828,57755.59864319,300.0,0.7145418,32.993874,
cid_1205,43158739083084985,9813,505,95160,4,g,1828,57755.6026517,180.0,0.72553647,32.51835,
cid_1205,43158739083084985,9813,505,95168,58,g,1828,57755.61288026,300.0,0.6655865,32.969906,
cid_1205,43158739083084985,9813,505,95170,10,g,1828,57755.61681784,180.0,0.7524225,32.50074,
cid_1205,43158739083084985,9813,505,95178,58,g,1828,57755.62697091,300.0,0.7339753,32.96704,
cid_1205,43158739083084985,9813,505,97582,50,g,1851,57778.54632281,300.0,1.2239696,32.91379,
cid_1205,43158739083084985,9813,505,97584,10,g,1851,57778.55028619,180.0,1.2499715,32.430275,
cid_1205,43158739083084985,9813,505,101418,49,g,1858,57785.33224983,300.0,0.9623906,32.39629,
cid_1205,43158739083084985,9813,505,101432,15,g,1858,57785.35302506,180.0,0.9836128,32.356895,
cid_1205,43158739083084985,9813,505,101438,57,g,1858,57785.36072576,300.0,0.6400395,32.400776,
cid_1205,43158739083084985,9813,505,101450,49,g,1858,57785.37874284,300.0,0.6755166,32.115257,
cid_1205,43158739083084985,9813,505,101470,57,g,1858,57785.40715438,300.0,0.5930214,32.04262,
cid_1205,43158739083084985,9813,505,101494,15,g,1858,57785.44233305,180.0,0.49413067,31.704876,
cid_1205,43158739083084985,9813,505,101500,57,g,1858,57785.45008231,300.0,0.5657613,32.276474,
